designation,material,thickness_mm,qty,width_mm,height_mm,area_mm2,cut_length_mm,holes,hole_diams,min_hole_edge_mm,checks,_rel
ДН-26.02.01.00.002,ст09Г2С,10.0,1,1170.22,970.0,1135108.6,4280.4,0,,,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 1шт. ДН-26.02.01.00.002 Спіраль корпуса.dxf
ДН-26.02.01.01.001-01,ст09Г2С,10.0,2,1999.1,845.95,1691134.9,6050.1,0,,,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 2шт. ДН-26.02.01.01.001-01(ч.1) Стінка корпуса верхня частина.dxf
ДН-26.02.01.00.003,ст09Г2С,10.0,1,2748.28,970.0,2665830.3,13167.3,16,18.0,126.0,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 1шт. ДН-26.02.01.00.003 Спіраль корпуса.dxf
ДН-26.02.01.04.005,ст09Г2С,10.0,2,1062.28,100.0,93480.8,2276.9,0,,,OPEN_CONTOUR:1 незамкнутых контура(ов),ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 2шт. ДН-26.02.01.04.005 Обічайка.dxf
ДН-26.02.01.00.004,ст09Г2С,10.0,1,1691.76,970.0,1641007.7,5690.2,0,,,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 1шт. ДН-26.02.01.00.004 Спіраль корпуса.dxf
ДН-26.02.01.01.009,ст09Г2С,10.0,2,590.0,108.0,59088.0,1389.0,0,,,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 2шт. ДН-26.02.01.01.009 Ребро.dxf
ДН-26.02.01.04.002,ст09Г2С,5.0,2,234.0,117.0,0.0,552.8,3,9.0,4.0,HOLE_NEAR_EDGE: отверстие 4.0мм от края < толщины 5.0мм,ДН-26.02.01.00.000 СК Корпус верхня частина/5мм ст09Г2С 2шт. ДН-26.02.01.04.002 Фланець.dxf
ДН-26.02.01.01.010,ст09Г2С,10.0,2,400.0,108.0,40176.0,1017.9,0,,,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 2шт. ДН-26.02.01.01.010 Ребро.dxf
ДН-26.02.01.00.021,ст09Г2С,10.0,2,200.0,168.49,22285.8,828.1,1,70.0,20.0,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 2шт. ДН-26.02.01.00.021 Накладка.dxf
ДН-26.02.01.01.001,ст09Г2С,10.0,2,1206.75,482.45,523484.1,3484.7,3,20.0 62.0,79.37,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 2шт. ДН-26.02.01.01.001 (ч.2) Стінка корпуса верхня частина.dxf
ДН-26.02.01.00.015,ст09Г2С,10.0,1,1190.0,122.0,137488.0,2861.7,2,50.0,30.0,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 1шт. ДН-26.02.01.00.015 Ребро.dxf
ДН-26.02.01.00.019,ст09Г2С,10.0,3,94.23,80.0,4468.7,301.4,0,,,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 3шт. ДН-26.02.01.00.019 Ребро фланця роз'єму.dxf
ДН-26.02.01.04.007,ст09Г2С,10.0,4,100.0,966.0,96500.0,2418.7,5,19.0,33.5,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 4шт. ДН-26.02.01.04.007 Планка.dxf
